PWM	motif_score_0.001	motif_score_0.0005	motif_score_0.0001
GLIS1.H13CORE.0.P.B	4.03641	5.14861	7.31501
GLIS1.H13CORE.1.P.B	4.39302	5.33925	7.28363
GLIS1.H13CORE.2.SM.B	-1.54519	0.20451	3.84671
GLIS2.H13CORE.0.SM.B	1.09551	2.66781	5.95641
GLIS3.H13CORE.0.P.C	4.00701	5.06391	7.16931
GLIS3.H13CORE.1.S.C	3.93421	5.07122	7.31641
GLYR1.H13CORE.0.B.B	5.84857	6.06749	6.42504
GMEB1.H13CORE.0.P.C	5.28397	6.12526	7.44115
GMEB1.H13CORE.1.P.C	4.68371	5.54531	7.27822
GMEB1.H13CORE.2.SM.B	3.91741	5.35761	7.61331
GMEB2.H13CORE.0.P.C	4.63741	5.52351	7.29171
GMEB2.H13CORE.1.P.C	5.21851	6.10707	7.50326
GMEB2.H13CORE.2.SM.B	4.01761	5.22811	7.39001
GRHL1.H13CORE.0.PSM.A	1.96271	3.33181	6.10921
GRHL1.H13CORE.1.PS.A	3.44033	4.78922	7.30225
GRHL2.H13CORE.0.P.B	3.95611	5.08531	7.36701
GRHL2.H13CORE.1.P.B	4.58082	5.64613	7.52957
GRHL3.H13CORE.0.SB.A	2.99291	4.24251	6.73441
GSC.H13CORE.0.SM.B	5.16955	6.29507	7.48341
GSC2.H13CORE.0.SM.B	5.40751	6.17305	7.04787
GSX1.H13CORE.0.SM.B	5.66130	6.32376	7.32197
GSX2.H13CORE.0.SM.B	3.80463	5.55033	7.93753
GTF2IRD2.H13CORE.0.PS.A	3.81836	5.09816	7.46877
HAND1.H13CORE.0.P.B	4.46541	5.41141	7.30991
HAND1.H13CORE.1.P.B	4.92861	5.83236	7.42593
HAND2.H13CORE.0.P.B	4.18991	5.21941	7.31251
HAND2.H13CORE.1.P.B	4.79421	5.73061	7.44451
HAND2.H13CORE.2.S.C	1.88988	2.85566	7.19165
HEN1.H13CORE.0.S.B	3.78821	4.91671	7.18441
HEN2.H13CORE.0.SM.B	-0.62399	1.07621	4.58901
HES1.H13CORE.0.S.C	-0.83389	0.84521	4.30891
HES1.H13CORE.1.S.C	1.51091	2.87353	5.14523
HES2.H13CORE.0.S.C	0.90361	2.55721	5.84251
HES5.H13CORE.0.SM.B	0.95451	2.59351	5.81841
HES7.H13CORE.0.S.B	4.74974	5.70748	7.58873
HESX1.H13CORE.0.SM.B	4.49709	6.25321	7.71836
HESX1.H13CORE.1.S.B	0.84441	2.41511	5.92931
HEY1.H13CORE.0.S.B	1.65072	3.02923	6.71912
HEY2.H13CORE.0.S.B	0.53303	2.19897	5.68211
HIC1.H13CORE.0.PSM.A	5.62948	6.37475	7.41068
HIC2.H13CORE.0.P.B	5.39643	5.92028	6.93730
HIF1A.H13CORE.0.P.B	4.59851	5.70784	7.64219
HIF1A.H13CORE.1.P.B	4.50821	5.53391	7.42361
HIF3A.H13CORE.0.P.C	4.49501	5.51831	7.40221
HIF3A.H13CORE.1.P.C	5.18785	6.17422	7.55350
HINFP.H13CORE.0.P.B	2.07201	3.36251	6.01261
HINFP.H13CORE.1.P.B	5.30046	5.81851	6.70471
HINFP.H13CORE.2.S.B	3.87931	5.16007	7.61742
HLF.H13CORE.0.P.B	2.83218	4.20692	7.05068
HLF.H13CORE.1.SM.B	4.46022	5.52953	7.46513
HMBX1.H13CORE.0.PSM.A	4.02251	5.22211	7.44451
HME1.H13CORE.0.PSM.A	3.11231	4.78253	7.90032
HME2.H13CORE.0.SM.B	5.31359	5.97561	7.33132
HMG20A.H13CORE.0.SB.A	3.89572	5.49572	7.67937
HMGA1.H13CORE.0.P.B	3.59365	4.78153	7.34116
HMX1.H13CORE.0.SM.B	3.31304	5.05249	7.57710
HMX2.H13CORE.0.SM.B	4.90605	5.82623	7.52746
HMX3.H13CORE.0.S.B	2.27731	3.35111	7.17511
HNF1A.H13CORE.0.PS.A	2.93801	4.09471	6.47811
HNF1B.H13CORE.0.PS.A	2.87181	4.05381	6.48391
HNF1B.H13CORE.1.P.D	3.24764	4.44550	6.79427
HNF4A.H13CORE.0.PSM.A	3.43701	4.55101	6.84081
HNF4G.H13CORE.0.P.B	1.22971	2.70371	5.72771
HNF6.H13CORE.0.PM.A	3.45966	4.45971	7.65350
HNF6.H13CORE.1.S.B	2.04807	3.05025	6.45581
HNF6.H13CORE.2.S.B	-0.27259	1.45691	4.96071
HNF6.H13CORE.3.M.B	-2.81798	-0.92469	3.31296
HOMEZ.H13CORE.0.S.B	2.84582	4.31303	7.19460
HSF1.H13CORE.0.PSM.A	-2.87579	-1.04269	2.78361
HSF1.H13CORE.1.P.B	4.17968	5.10555	7.33761
HSF1.H13CORE.2.P.B	3.13161	4.24611	6.56081
HSF2.H13CORE.0.PSM.A	1.02481	2.47121	5.45911
HSF4.H13CORE.0.SM.B	1.17991	2.59011	5.49581
HSF5.H13CORE.0.M.C	2.36777	3.79135	7.15921
HSF5.H13CORE.1.S.C	3.81793	5.25463	7.58701
HSFY1.H13CORE.0.S.B	2.55354	3.93327	7.11744
HSFY1.H13CORE.1.S.B	1.15081	2.53821	5.40911
HSFY1.H13CORE.2.M.B	4.00711	4.98121	6.99291
HTF4.H13CORE.0.PSM.A	4.37934	5.57521	7.72583
HXA1.H13CORE.0.SM.B	4.28214	5.90253	7.81378
HXA1.H13CORE.1.S.B	1.66961	3.16041	6.50911
HXA10.H13CORE.0.S.B	4.87252	6.06784	7.50743
HXA10.H13CORE.1.M.B	3.38563	4.80475	7.62496
HXA11.H13CORE.0.PS.A	4.34221	5.34321	7.32151
HXA11.H13CORE.1.SM.B	2.78031	4.11632	6.86506
HXA13.H13CORE.0.P.B	2.36749	3.99968	6.80969
HXA13.H13CORE.1.SM.B	2.81021	4.12971	6.89367
HXA2.H13CORE.0.SM.B	2.83482	4.55582	7.55333
HXA4.H13CORE.0.SM.B	4.82673	5.97773	7.72384
HXA5.H13CORE.0.SM.B	4.73961	6.09255	7.73762
HXA6.H13CORE.0.SM.B	4.73973	6.18611	7.65571
HXA7.H13CORE.0.SM.B	4.87231	6.25641	7.64901
HXA9.H13CORE.0.P.B	4.49821	5.40591	7.24794
HXA9.H13CORE.1.SM.B	5.05295	6.08304	7.60147
HXA9.H13CORE.2.P.B	4.22811	5.23227	7.24190
HXB1.H13CORE.0.SM.B	3.59392	5.86866	7.81641
HXB13.H13CORE.0.PS.A	4.06881	5.21021	7.48457
HXB13.H13CORE.1.SM.B	2.07376	3.58075	6.45104
HXB2.H13CORE.0.SM.B	4.02703	5.59383	7.82972
HXB3.H13CORE.0.S.B	5.84544	6.33634	7.12368
HXB4.H13CORE.0.P.B	4.92955	5.74198	7.26502
